route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1654,22
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,985.045454545455,22
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,1183.31818181818,22
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1177,4
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SAT.,1006,4
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,SAT.,4614,4
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1467,5
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,SUN.,1295,5
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,SUN.,3600.8,5
BLLB,BLLB,BLUE LINE - LIBRARY,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,6237,22
BLSV,BLSV,BLUE LINE - SOUTH HILLS VILLAGE,South Hills Village,Light Rail,2017-01-01,201701,WEEKDAY,8674,22
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Rail,2017-01-01,201701,WEEKDAY,10622.5909090909,22
MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SAT.,1913.5,4
MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,SUN.,1078.4,5
MI,000,MONONGAHELA INCLINE,Incline,Incline,2017-01-01,201701,WEEKDAY,814.045454545455,22
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SAT.,1238.75,4
4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,SAT.,278,4
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SAT.,558.75,4
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SAT.,1749.75,4
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SAT.,229.25,4
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SAT.,1242.25,4
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SAT.,1474,4
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SAT.,586,4
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SAT.,805,4
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SAT.,2018.75,4
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SAT.,533,4
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SAT.,571,4
22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,SAT.,435,4
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SAT.,1235,4
26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,SAT.,577,4
27,027,27 - FAIRYWOOD,Collier,Bus,2017-02-01,201702,SAT.,632,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-02-01,201702,SAT.,1287.75,4
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-02-01,201702,SAT.,866.25,4
38,038,38 - GREEN TREE,Collier,Bus,2017-02-01,201702,SAT.,312.75,4
39,039,39 - BROOKLINE,Collier,Bus,2017-02-01,201702,SAT.,237,4
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-02-01,201702,SAT.,236.5,4
41,041,41 - BOWER HILL,Collier,Bus,2017-02-01,201702,SAT.,517.5,4
43,043,43 - BAILEY,Collier,Bus,2017-02-01,201702,SAT.,375.25,4
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-02-01,201702,SAT.,307,4
48,048,48 - ARLINGTON,Collier,Bus,2017-02-01,201702,SAT.,2085,4
51,051,51 - CARRICK,West Mifflin,Bus,2017-02-01,201702,SAT.,4782.5,4
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-02-01,201702,SAT.,316.25,4
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-02-01,201702,SAT.,2469.25,4
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-02-01,201702,SAT.,643.5,4
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-02-01,201702,SAT.,695.25,4
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-02-01,201702,SAT.,941.25,4
58,058,58 - GREENFIELD,East Liberty,Bus,2017-02-01,201702,SAT.,314.25,4
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-02-01,201702,SAT.,1882,4
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-02-01,201702,SAT.,3391.5,4
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-02-01,201702,SAT.,2974.5,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-02-01,201702,SAT.,4497.75,4
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-02-01,201702,SAT.,3741.25,4
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-02-01,201702,SAT.,1571.25,4
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-02-01,201702,SAT.,897.75,4
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-02-01,201702,SAT.,383.25,4
69,069,69 - TRAFFORD,East Liberty,Bus,2017-02-01,201702,SAT.,373.5,4
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-02-01,201702,SAT.,2935.75,4
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-02-01,201702,SAT.,2524.75,4
