route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SUN.,0.8549,Clever
P10,P10,P10 - ALLEGHENY VALLEY FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6019,Clever
P12,P12,P12 - HOLIDAY PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6134,Clever
P13,P13,P13 - MOUNT ROYAL FLYER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.5522,Clever
P16,P16,P16 - PENN HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.665,Clever
P17,P17,P17 - LINCOLN PARK FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.7022,Clever
P2,P2,P2 - EAST BUSWAY SHORT,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.8659,Clever
P3,P3,P3 - EAST BUSWAY-OAKLAND,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.8364,Clever
P67,P67,P67 - MONROEVILLE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6427,Clever
P68,P68,P68 - BRADDOCK HILLS FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5861,Clever
P69,P69,P69 - TRAFFORD FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6015,Clever
P7,P7,P7 - MCKEESPORT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6532,Clever
P71,P71,P71 - SWISSVALE FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.6476,Clever
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.5887,Clever
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.5695,Clever
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7423,Clever
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7803,Clever
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7064,Clever
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8577,Clever
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7098,Clever
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7142,Clever
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7213,Clever
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7308,Clever
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7438,Clever
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7216,Clever
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6764,Clever
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SAT.,0.6311,Clever
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-02-01,201702,SUN.,0.645,Clever
2,002,2 - MOUNT ROYAL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.5968,Clever
4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.733,Clever
4,004,4 - TROY HILL,Ross,Bus,2017-02-01,201702,SAT.,0.6642,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7829,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SAT.,0.7395,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-02-01,201702,SUN.,0.797,Clever
7,007,7 - SPRING GARDEN,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6736,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7143,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SAT.,0.6653,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-02-01,201702,SUN.,0.7514,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7334,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SAT.,0.7249,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-02-01,201702,SUN.,0.7154,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6923,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SAT.,0.5711,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-02-01,201702,SUN.,0.6861,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6896,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SAT.,0.711,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-02-01,201702,SUN.,0.7494,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,WEEKDAY,0.697,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SAT.,0.7755,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-02-01,201702,SUN.,0.8018,Clever
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7724,Clever
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SAT.,0.717,Clever
15,015,15 - CHARLES,Ross,Bus,2017-02-01,201702,SUN.,0.7083,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7389,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SAT.,0.6981,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-02-01,201702,SUN.,0.7636,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,WEEKDAY,0.6939,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SAT.,0.7258,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-02-01,201702,SUN.,0.665,Clever
18,018,18 - MANCHESTER,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7706,Clever
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-02-01,201702,WEEKDAY,0.7169,Clever
20,020,20 - KENNEDY,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7791,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,WEEKDAY,0.6962,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SAT.,0.7219,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-02-01,201702,SUN.,0.6998,Clever
22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7284,Clever
22,022,22 - MCCOY,Collier,Bus,2017-02-01,201702,SAT.,0.778,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,WEEKDAY,0.6878,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SAT.,0.7416,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-02-01,201702,SUN.,0.7101,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,WEEKDAY,0.7615,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,SAT.,0.7566,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-02-01,201702,SUN.,0.8163,Clever
